"","h2"
"biomass_subamb",0.243424376058474
"biomass_log_subamb",0.282151498854656
"leaf_mass_subamb",0.179349652167107
"leaf_mass_log_subamb",0.233715327801099
"seed_mass_subamb",0.165273977130331
"seed_mass_log_subamb",0.195351489566171
"stem_mass_subamb",0.189143951708578
"stem_mass_log_subamb",0.266261822645177
"ht_flag_subamb",0.243663886309013
"ht_flower_subamb",0.214837965544179
"AmountC_subamb",0
"AmountN_subamb",0.245498856663136
"d13C_subamb",0.223732143892297
"d15N_subamb",0.0782523149789973
"CN_subamb",0.243039225099727
"biomass_ambient",0.101960441962999
"biomass_log_ambient",0.120882902308553
"leaf_mass_ambient",0.101223748442761
"leaf_mass_log_ambient",0.0990783623767856
"seed_mass_ambient",0
"seed_mass_log_ambient",0.0512505678473208
"stem_mass_ambient",0
"stem_mass_log_ambient",0.0249483197946879
"ht_flag_ambient",0
"ht_flower_ambient",0
"AmountC_ambient",4.230063006163e-13
"AmountN_ambient",0
"d13C_ambient",0.0649976094094021
"d15N_ambient",0
"CN_ambient",0.0361425631643826
"biomass_elevated",0.0198759110666168
"biomass_log_elevated",0.0425489689930148
"leaf_mass_elevated",0.0505107168032323
"leaf_mass_log_elevated",0.0192570002515287
"seed_mass_elevated",0.0940559909198205
"seed_mass_log_elevated",0.0776125513839999
"stem_mass_elevated",0.0265085394061769
"stem_mass_log_elevated",0.035385633005547
"ht_flag_elevated",0.0463894421718572
"ht_flower_elevated",0.0214431615592812
"AmountC_elevated",0.0590406683415132
"AmountN_elevated",0
"d13C_elevated",0.0983971295752092
"d15N_elevated",0.0595868083512191
"CN_elevated",0
"AmountC_high",0.0166052950873107
"AmountC_low",0
"AmountN_high",0
"AmountN_low",0.0679346390425084
"CN_high",0
"CN_low",0.0629361139618541
"d13C_high",0
"d13C_low",0
"d15N_high",0
"d15N_low",0
"biomass_high",0
"biomass_low",0
"ht_flag_high",0
"ht_flag_low",0
"ht_flower_high",0
"ht_flower_low",0
"biomass",0.146438067994576
"biomass_log",0.211454782333075
"leaf_mass",0.149588280003997
"leaf_mass_log",0.158011512522346
"seed_mass",0.0845773275431629
"seed_mass_log",0.174362339325468
"stem_mass",0.104132004918165
"stem_mass_log",0.184646504491319
"ht_flag",0.1207944533156
"ht_flower",0.150135562599402
"AmountC",0.0937217752624341
"AmountN",0.219406362688021
"d13C",0
"d15N",0.0119502488123388
"CN",0.165022617224622
