id,biomass,biomass_log,leaf_mass,leaf_mass_log,seed_mass,seed_mass_log,stem_mass,stem_mass_log,ht_flag,ht_flower,AmountC,AmountN,d13C,d15N,CN
1,0.31,-1.17118298150295,0.06,-2.81341071676004,0.1,-2.30258509299405,0.14,-1.96611285637283,13,20.85,1536.12190354679,79.0895947289785,-33.5496081121557,-1.51478733826493,19.4225537355543
2,0.06,-2.81341071676004,0.01,-4.60517018598809,0.04,-3.2188758248682,0.01,-4.60517018598809,6.17,13.23,1570.18239626137,57.8849390587716,-32.4709705539045,-1.05017549321871,27.1259229394219
3,0.12,-2.12026353620009,0.02,-3.91202300542815,0.07,-2.65926003693278,0.03,-3.50655789731998,8.7,17.57,1586.17481547062,89.5564067966606,-33.1570547938029,-2.33944285417981,17.7114611026329
4,0.04,-3.2188758248682,0,NA,0.03,-3.50655789731998,0.01,-4.60517018598809,6.65,11.1,NA,NA,NA,NA,NA
5,0.19,-1.66073120682165,0.02,-3.91202300542815,0.11,-2.20727491318972,0.06,-2.81341071676004,11.85,20.8,1399.31054152666,82.6929229729453,-33.5153968709848,-2.8632271409004,16.9217690126212
6,0.24,-1.42711635564015,0.05,-2.99573227355399,0.09,-2.40794560865187,0.09,-2.40794560865187,13.3,22.1,1597.99208611665,115.381097319257,-32.9541845674012,-2.46241397353957,13.8496870219135
7,0.06,-2.81341071676004,0,NA,0.04,-3.2188758248682,0.02,-3.91202300542815,7.23,12.83,1614.41037326744,51.4375436146701,-32.5662397357334,-0.93079348866605,NA
8,0.15,-1.89711998488588,0.02,-3.91202300542815,0.08,-2.52572864430826,0.05,-2.99573227355399,12.25,20.7,1374.45548925497,82.9546517963594,-33.420131007266,-3.12011448251763,16.5687572606422
9,0.2,-1.6094379124341,0.02,-3.91202300542815,0.12,-2.12026353620009,0.06,-2.81341071676004,9.8,17.3,1560.36610224921,87.6794864988685,-33.8754255400819,-2.08040551134664,17.7962504635488
10,0.08,-2.52572864430826,0.01,-4.60517018598809,0.05,-2.99573227355399,0.02,-3.91202300542815,7.13,13.73,1423.9628958061,72.5683058713643,-32.5022222207665,-1.00531308226536,19.6223803037409
11,NA,-0.371063681390832,NA,-2.20727491318972,NA,-1.17118298150295,NA,-1.30933331998376,13.5,23.8,1331.23499081185,88.9847850338985,-33.6762275858597,-1.39813978331278,14.9602540513496
12,0.05,-2.99573227355399,0,NA,0.04,-3.2188758248682,0.01,-4.60517018598809,6,10.97,1621.76179750659,51.2925754532122,-32.9510800658629,-1.62783241610785,NA
13,0.08,-2.52572864430826,0.01,-4.60517018598809,0.06,-2.81341071676004,0.02,-3.91202300542815,6.73,13.33,1558.18411288554,66.6059584420446,-32.8431986600096,-1.08192871210117,23.3940648754623
