"","lodindex","lodcolumn","chr","pos","lod","ci_lo","ci_hi","MARKER","flank_lo","flank_hi","QTL"
"1",1,"d13C","1",98.136,1.58159807706752,22.151,107.75,"Bd1.33081967","Bd1.14441063","BD1.41848774","1@98.1"
"2",1,"d13C","1",198.304,4.10025206183528,194.96,205.016,"BD1.63517059","BD1.63210848","BD1.64443779","1@198.3"
"3",1,"d13C","2",28.178,2.96007170463565,12.539,43.362,"BD2.8185774","Bd2.5443775","Bd2.10742240","2@28.2"
"4",1,"d13C","3",63,1.86333059627774,53.832,240.029,"c3.loc63","BD3.5459948","Bd3.53737356","3@63"
"5",1,"d13C","5",35.585,2.21063475453465,30.953,74.451,"BD5.14383369","Bd5.13398975","BD5.23045533","5@35.6"
"6",2,"d15N","1",19,2.36152842356663,8.578,27.288,"c1.loc19","Bd1.10746608","Bd1.14974573","1@19"
"7",2,"d15N","2",121.267,1.52665417939198,0,192.382,"BD2.39310921","BD2.3266773","Bd2.54203181","2@121.3"
"8",2,"d15N","3",3.579,1.52041957110105,0,240.029,"Bd3.1008625","Bd3.324658","Bd3.53737356","3@3.6"
"9",2,"d15N","5",50.428,2.04974893315627,34.766,74.451,"BD5.19902938","BD5.14109015","BD5.23045533","5@50.4"
"10",2,"d15N","5",133.324,1.92814616227037,127.975,136.524,"BD5.27959460","BD5.27259561","Bd5.28555991","5@133.3"
"11",3,"AmountC","1",79.624,1.45142043205158,17.768,243.691,"BD1.28975565","BD1.12530222","Bd1.69643267","1@79.6"
"12",3,"AmountC","3",229.44,1.71983126790699,68.288,237.24,"BD3.52502521","BD3.7575554","BD3.53580827","3@229.4"
"13",3,"AmountC","4",133,2.14131164751885,124.399,142.466,"c4.loc133","BD4.37269148","BD4.41788261","4@133"
"14",3,"AmountC","5",80.492,1.89612105182069,78.27,127.975,"Bd5.24289416","BD5.23784905","BD5.27259561","5@80.5"
"15",4,"AmountN","2",22,4.11850015566285,4.674,28.178,"c2.loc22","BD2.4615714","BD2.8185774","2@22"
"16",4,"AmountN","3",4,1.99776394345279,0,240.029,"c3.loc4","Bd3.324658","Bd3.53737356","3@4"
"17",4,"AmountN","4",100.692,2.46208682741149,44.154,106.297,"BD4.30077593","BD4.5440858","BD4.31321703","4@100.7"
"18",4,"AmountN","4",184.451,2.06991422172684,179.552,194.132,"Bd4.47058726","Bd4.46692908","BD4.47765887","4@184.5"
"19",4,"AmountN","5",136.524,2.0432096352028,127.975,136.524,"Bd5.28555991","BD5.27259561","Bd5.28555991","5@136.5"
"20",5,"CN","2",24,4.00165612685397,18.616,28.843,"c2.loc24","Bd2.6760155","BD2.8429335","2@24"
"21",5,"CN","4",100.692,2.77663270976078,98.3,106.297,"BD4.30077593","BD4.29288035","BD4.31321703","4@100.7"
"22",5,"CN","4",184.451,3.61076572125578,181.639,194.132,"Bd4.47058726","BD4.46840092","BD4.47765887","4@184.5"
