"chr","QTL","pos_lo","pos_hi","lodcolumn","seqid","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46842128,46844368,"Bradi4g43090","GO:0000160","AT3G57040","ARR9,ATRR4","response regulator 9","LOC_Os11g04720","OsRR10 type-A response regulator, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46844318,46846022,"Bradi4g43095","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46856388,46858411,"Bradi4g43102","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46861092,46861364,"Bradi4g43107","","","","","LOC_Os09g15410","retrotransposon protein, putative, unclassified"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46864649,46868136,"Bradi4g43110","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT5G05690","CBB3,CPD,CYP90,CYP90A,CYP90A1,DWF3","Cytochrome P450 superfamily protein","LOC_Os12g04480","cytochrome P450, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46870725,46890104,"Bradi4g43117","","AT1G59520","CW7","CW7","LOC_Os04g10420","CW7, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46879728,46881336,"Bradi4g43119","","","","","LOC_Os02g29950","transposon protein, putative, CACTA, En/Spm sub-class, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46890358,46891440,"Bradi4g43121","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46893570,46894142,"Bradi4g43125","GO:0008270,GO:0005515","AT1G55530","","RING/U-box superfamily protein","LOC_Os11g04690","zinc finger, C3HC4 type domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46894484,46901379,"Bradi4g43130","GO:0009098,GO:0003852,GO:0003824","AT1G74040","IMS1,IPMS2,MAML-3","2-isopropylmalate synthase 1","LOC_Os12g04440","2-isopropylmalate synthase B, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46901223,46901771,"Bradi4g43133","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46901966,46904665,"Bradi4g43137","GO:0016844,GO:0009058","AT2G41290","SSL2","strictosidine synthase-like 2","LOC_Os11g04660","strictosidine synthase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46915316,46918704,"Bradi4g43150","GO:0005515","AT2G41370","BOP2","Ankyrin repeat family protein / BTB/POZ domain-containing protein","LOC_Os12g04410","BTBA6 - Bric-a-Brac,Tramtrack, Broad Complex BTB domain with Ankyrin repeat region, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46923312,46926215,"Bradi4g43161","GO:0006468,GO:0005524,GO:0004672,GO:0030246","AT5G55830","","Concanavalin A-like lectin protein kinase family protein","LOC_Os04g05560","kinase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46926508,46928269,"Bradi4g43170","","AT5G42020","BIP,BIP2","Heat shock protein 70 (Hsp 70) family protein","LOC_Os12g05760","DnaK family protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46928881,46929576,"Bradi4g43175","","","","","LOC_Os05g51270","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46931019,46934526,"Bradi4g43180","GO:0016757","AT3G18180","","Glycosyltransferase family 61 protein","LOC_Os10g35020","glycosyltransferase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46936094,46937363,"Bradi4g43190","GO:0006508,GO:0004190","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os12g05750","eukaryotic aspartyl protease domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46938176,46940076,"Bradi4g43200","","AT1G50420","SCL-3,SCL3","scarecrow-like 3","LOC_Os12g04370","GRAS family transcription factor containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46942295,46943530,"Bradi4g43211","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46945185,46948472,"Bradi4g43220","GO:0006355","AT5G28530","FRS10","FAR1-related sequence 10","LOC_Os11g17430","retrotransposon protein, putative, unclassified, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46949093,46953928,"Bradi4g43230","GO:0009966","AT5G53000","TAP46","2A phosphatase associated protein of 46 kD","LOC_Os12g04290","PP2A regulatory subunit TAP46, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46955205,46958708,"Bradi4g43237","","AT5G03990","","","LOC_Os11g04510","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46959716,46963921,"Bradi4g43250","GO:0055114,GO:0017004,GO:0016020","AT5G54290","CcdA","cytochrome c biogenesis protein family","LOC_Os12g04270","cytochrome c-type biogenesis protein dbsD-like, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46963361,46968414,"Bradi4g43257","GO:0055114,GO:0016491","AT1G50450","","Saccharopine dehydrogenase ","LOC_Os12g04260","astaxanthin synthase KC28, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46969525,46972058,"Bradi4g43270","","AT3G02700","","NC domain-containing protein-related","LOC_Os05g24560","NC domain-containing protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46972059,46975944,"Bradi4g43280","GO:0055114,GO:0016491","AT1G50450","","Saccharopine dehydrogenase ","LOC_Os12g04260","astaxanthin synthase KC28, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46976860,46979413,"Bradi4g43290","GO:0005509","AT5G04170","","Calcium-binding EF-hand family protein","LOC_Os11g04480","peflin, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46980061,46987148,"Bradi4g43300","GO:0005516,GO:0046872,GO:0000166","AT3G57330","ACA11","autoinhibited Ca2+-ATPase 11","LOC_Os12g04220","calcium-transporting ATPase, plasma membrane-type, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46987819,46990915,"Bradi4g43310","GO:0005759","AT2G41600","","Mitochondrial glycoprotein family protein","LOC_Os11g04440","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46991148,46993016,"Bradi4g43314","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46994423,46995063,"Bradi4g43318","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",46998603,47002370,"Bradi4g43322","GO:0043565,GO:0006355,GO:0003700,GO:0006351","AT4G35040","bZIP19","Basic-leucine zipper (bZIP) transcription factor family protein","LOC_Os05g41540","bZIP transcription factor domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47004270,47005830,"Bradi4g43327","","AT5G25400","","Nucleotide-sugar transporter family protein","LOC_Os12g04170","domain of unknown function, DUF250 domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47007753,47008832,"Bradi4g43330","GO:0006355,GO:0003677","AT1G34190","anac017,NAC017","NAC domain containing protein 17","LOC_Os12g22630","retrotransposon protein, putative, unclassified, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47020108,47021168,"Bradi4g43341","","AT5G05800","","","LOC_Os03g44130","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47022789,47023855,"Bradi4g43346","GO:0006355,GO:0003677","AT4G35580","NTL9","NAC transcription factor-like 9","LOC_Os12g22630","retrotransposon protein, putative, unclassified, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47027993,47031040,"Bradi4g43350","","","","","LOC_Os06g18960","embryogenesis transmembrane protein, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47033344,47035518,"Bradi4g43360","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47040019,47041704,"Bradi4g43370","","AT3G50520","","Phosphoglycerate mutase family protein","LOC_Os12g04120","phosphoglycerate mutase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47042008,47043531,"Bradi4g43380","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G56630","CYP94D2","cytochrome P450, family 94, subfamily D, polypeptide 2","LOC_Os12g04110","pentatricopeptide, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47044200,47049079,"Bradi4g43390","GO:0006418,GO:0005524,GO:0004812,GO:0000166","AT4G31180","","Class II aminoacyl-tRNA and biotin synthetases superfamily protein","LOC_Os02g46130","tRNA synthetases class II domain containing protein, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47049497,47051909,"Bradi4g43400","GO:0006468,GO:0004672","AT5G12180","CPK17","calcium-dependent protein kinase 17","LOC_Os11g04170","CAMK_CAMK_like.42 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47067235,47068123,"Bradi4g43411","","","","","",""
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47072305,47074301,"Bradi4g43420","","","","","LOC_Os01g24500","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47078008,47080207,"Bradi4g43430","GO:0008138,GO:0006470","AT4G18593","","dual specificity protein phosphatase-related","LOC_Os11g04180","dual specificity protein phosphatase, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47080657,47087706,"Bradi4g43441","GO:0034457,GO:0006364,GO:0005732,GO:0005634","AT5G66540","","","LOC_Os12g04010","M-phase phosphoprotein 10, putative, expressed"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47090279,47094532,"Bradi4g43450","","","","","LOC_Os01g24430","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47105078,47107256,"Bradi4g43460","","","","","LOC_Os01g24500","expressed protein"
"Bd4","4@184.5",46840092,47765887,"CN","Bd4",47108585,47110742,"Bradi4g43465","","","","","",""
