"","lodindex","lodcolumn","chr","pos","lod","ci_lo","ci_hi","MARKER","flank_lo","flank_hi","QTL"
"1",1,"d13C","1",104.011,2.63296370879952,17.768,113.81,"BD1.40086528","BD1.12530222","BD1.43354625","1@104"
"2",1,"d13C","1",198.304,4.24334029439509,193.916,205.016,"BD1.63517059","BD1.62577926","BD1.64443779","1@198.3"
"3",1,"d13C","2",28.178,2.97112794433458,12.539,43.362,"BD2.8185774","Bd2.5443775","Bd2.10742240","2@28.2"
"4",1,"d13C","2",93,3.10427236806527,78.068,97.387,"c2.loc93","Bd2.18765360","Bd2.34205814","2@93"
"5",1,"d13C","3",7.533,3.78118334066374,0.681,14.29,"BD3.1362672","Bd3.547920","BD3.1985532","3@7.5"
"6",1,"d13C","3",98.195,2.94012454667594,88.987,106.742,"BD3.14749960","BD3.13618836","BD3.18567243","3@98.2"
"7",1,"d13C","5",38,2.66329225437529,32.326,74.451,"c5.loc38","Bd5.13882782","BD5.23045533","5@38"
"8",2,"d15N","3",124.561,2.66748253335528,14.29,145.025,"BD3.27687919","BD3.1985532","BD3.36789323","3@124.6"
"9",3,"AmountC","3",229.44,2.51618334185607,83.963,240.029,"BD3.52502521","Bd3.12817706","Bd3.53737356","3@229.4"
"10",3,"AmountC","4",133,2.69051037904581,78.773,141.582,"c4.loc133","BD4.13879816","BD4.41514282","4@133"
"11",4,"AmountN","1",27.363,2.52572205696356,14.635,148.594,"Bd1.15012085","Bd1.12408384","BD1.50660637","1@27.4"
"12",4,"AmountN","1",231.068,2.72376479417005,211.796,233.221,"Bd1.67947516","BD1.65432632","Bd1.68344162","1@231.1"
"13",4,"AmountN","2",22,4.12839355070473,4.674,28.178,"c2.loc22","BD2.4615714","BD2.8185774","2@22"
"14",4,"AmountN","4",102,3.09659544052221,98.3,124.399,"c4.loc102","BD4.29288035","BD4.37269148","4@102"
"15",4,"AmountN","4",184.451,2.52797502975119,177.304,190.76,"Bd4.47058726","Bd4.46513551","Bd4.47409992","4@184.5"
"16",5,"CN","2",24,4.0465247596952,18.616,28.843,"c2.loc24","Bd2.6760155","BD2.8429335","2@24"
"17",5,"CN","4",101,3.21414840961107,75.671,106.297,"c4.loc101","Bd4.13032181","BD4.31321703","4@101"
"18",5,"CN","4",122,2.59420240051909,117.348,125.852,"c4.loc122","BD4.34315130","BD4.38042342","4@122"
"19",5,"CN","4",184.451,4.71060592532757,181.639,194.132,"Bd4.47058726","BD4.46840092","BD4.47765887","4@184.5"
